repeat_id,metric,count,avg,std,min,median,t90,p95,p99,max
5,queue_ms_phase_b,3,0.154,0.0,0.154,0.154,0.154,0.154,0.154,0.154
5,min_batch_barrier_observed_ms_phase_b,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,first_non_warmup_num_requests_max,3,3.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0
5,first_non_warmup_min_batch_ok_all_ranks,3,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
5,raw_to_latency_submit_gap_ms_phase_b,3,0.4896666666666667,0.2882296538063587,0.214,0.466,0.7244,0.7567,0.78254,0.789
5,raw_e2e_ms_including_barrier_phase_b,3,3320.3813333333333,0.2882712842675887,3320.106,3320.357,3320.6162,3320.6486,3320.67452,3320.681
5,raw_e2ft_ms_including_barrier_phase_b,3,301.5813333333333,0.28827128426766535,301.306,301.557,301.8162,301.8486,301.87451999999996,301.881
5,prefill_active_thread_count,3,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0
5,prefill_active_thread_count_edge,3,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0
5,prefill_active_thread_count_sample_p90,3,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0
5,prefill_active_thread_count_union,3,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0
5,prefill_effective_cpu_cores,3,371.354,0.0,371.354,371.354,371.354,371.354,371.354,371.354
5,decode_active_thread_count_avg,3,3.314,0.0,3.314,3.314,3.314,3.314,3.314,3.314
5,decode_active_thread_count_edge_avg,3,3.314,0.0,3.314,3.314,3.314,3.314,3.314,3.314
5,decode_active_thread_count_sample_p90_avg,3,2.658,0.0,2.658,2.658,2.658,2.658,2.658,2.658
5,decode_active_thread_count_sample_max_peak,3,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0
5,decode_active_thread_count_union_avg,3,3.314,0.0,3.314,3.314,3.314,3.314,3.314,3.314
5,decode_effective_cpu_cores_avg,3,391.414,0.0,391.414,391.414,391.414,391.414,391.414,391.414
5,decode_effective_cpu_cores_p90,3,536.412,0.0,536.412,536.412,536.412,536.412,536.412,536.412
5,decode_effective_cpu_cores_max,3,705.902,0.0,705.902,705.902,705.902,705.902,705.902,705.902
5,prefill_total_threads_mean,3,129.0,0.0,129.0,129.0,129.0,129.0,129.0,129.0
5,decode_total_threads_mean_avg,3,129.0,0.0,129.0,129.0,129.0,129.0,129.0,129.0
5,decode_total_threads_max_peak,3,129.0,0.0,129.0,129.0,129.0,129.0,129.0,129.0
6,e2e_ms_phase_b,3,3311.971,0.0,3311.971,3311.971,3311.971,3311.971,3311.971,3311.971
6,ttft_ms_phase_b,3,51.905,0.0,51.905,51.905,51.905,51.905,51.905,51.905
6,tpot_ms_phase_b,3,11.526922,0.0,11.526922,11.526922,11.526922,11.526922,11.526922,11.526922
6,prefill_time_ms_phase_b,3,18.982,0.0,18.982,18.982,18.982,18.982,18.982,18.982
6,ttft_compute_window_ms_phase_b,3,51.744,0.0,51.744,51.744,51.744,51.744,51.744,51.744
6,e2e_non_gpu_wall_ms,3,363.51,0.0,363.51,363.51,363.51,363.51,363.51,363.51
6,ttft_non_gpu_wall_ms,3,32.963,0.0,32.963,32.963,32.963,32.963,32.963,32.963
6,tpot_non_gpu_wall_ms,3,0.039102,0.0,0.039102,0.039102,0.039102,0.039102,0.039102,0.039102
6,prefill_non_gpu_wall_ms,3,0.041,0.0,0.041,0.041,0.041,0.041,0.041,0.041
6,e2e_non_gpu_wall_ratio,3,0.109756,0.0,0.109756,0.109756,0.109756,0.109756,0.109756,0.109756
6,ttft_non_gpu_wall_ratio,3,0.635065,0.0,0.635065,0.635065,0.635065,0.635065,0.635065,0.635065
6,tpot_non_gpu_wall_ratio,3,0.0033920000000000005,5.311484201212962e-19,0.003392,0.003392,0.003392,0.003392,0.003392,0.003392
6,prefill_non_gpu_wall_ratio,3,0.00216,0.0,0.00216,0.00216,0.00216,0.00216,0.00216,0.00216
6,queue_ms_phase_b,3,0.161,0.0,0.161,0.161,0.161,0.161,0.161,0.161
6,min_batch_barrier_observed_ms_phase_b,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,first_non_warmup_num_requests_max,3,3.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0
6,first_non_warmup_min_batch_ok_all_ranks,3,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
6,raw_to_latency_submit_gap_ms_phase_b,3,0.5243333333333333,0.3099069752898978,0.224,0.506,0.7756,0.8092999999999999,0.83626,0.843
