repeat_id,pid,tid,process_role,process_name,thread_name,kernel_thread_comm,python_thread_name,first_global_step,last_global_step,unique_step_count,sample_rows,runnable_samples,active_samples,total_cpu_delta_ms,max_cpu_delta_ms_per_sample,involuntary_ctx_switch_delta_sum,voluntary_ctx_switch_delta_sum,common_wchan,locations,reason_flags,process_cmdline
3,1580792,1580870,vllm_worker_or_child,VLLM::Worker_TP1,VLLM::EngineCor,VLLM::EngineCor,,146,146,1,1,0,1,10.0,10.0,0,8,ep_poll,Decode[144],cpu_delta_active,VLLM::Worker_TP1
3,1580792,1580866,vllm_worker_or_child,VLLM::Worker_TP1,VLLM::EngineCor,VLLM::EngineCor,,233,233,1,1,0,1,9.999999999999998,9.999999999999998,0,8,ep_poll,Decode[231],cpu_delta_active,VLLM::Worker_TP1
4,1581240,1581240,vllm_worker_or_child,VLLM::Worker_TP0,VLLM::Worker_TP,VLLM::Worker_TP,,0,256,257,257,257,257,15390.0000000001,80.0000000000125,15520,0,0,Prefill|Decode[0]|Decode[1]|Decode[2]|Decode[3]|Decode[4]|Decode[5]|Decode[6]|Decode[7]|Decode[8]|Decode[9]|Decode[10],runnable_R;cpu_delta_active;involuntary_ctx_switch,VLLM::Worker_TP0
4,1581241,1581241,vllm_worker_or_child,VLLM::Worker_TP1,VLLM::Worker_TP,VLLM::Worker_TP,,0,256,257,257,257,257,14190.000000000104,90.00000000000341,15245,0,0,Prefill|Decode[0]|Decode[1]|Decode[2]|Decode[3]|Decode[4]|Decode[5]|Decode[6]|Decode[7]|Decode[8]|Decode[9]|Decode[10],runnable_R;cpu_delta_active;involuntary_ctx_switch,VLLM::Worker_TP1
4,1581234,1581234,vllm_engine_core,VLLM::EngineCore,VLLM::EngineCor,VLLM::EngineCor,,0,18,19,19,19,19,829.9999999999983,60.000000000002274,808,0,0,Prefill|Decode[0]|Decode[1]|Decode[2]|Decode[3]|Decode[4]|Decode[5]|Decode[6]|Decode[7]|Decode[8]|Decode[9]|Decode[10],runnable_R;cpu_delta_active;involuntary_ctx_switch,VLLM::EngineCore
4,1581240,1581301,vllm_worker_or_child,VLLM::Worker_TP0,VLLM::EngineCor,VLLM::EngineCor,,31,106,2,2,1,1,10.0,10.0,0,15,ep_poll,Decode[29]|Decode[104],cpu_delta_active|runnable_R,VLLM::Worker_TP0
4,1581240,1581276,vllm_worker_or_child,VLLM::Worker_TP0,VLLM::EngineCor,VLLM::EngineCor,,209,209,1,1,1,0,0.0,0.0,0,9,ep_poll,Decode[207],runnable_R,VLLM::Worker_TP0
4,1581240,1581297,vllm_worker_or_child,VLLM::Worker_TP0,VLLM::EngineCor,VLLM::EngineCor,,233,233,1,1,1,0,0.0,0.0,0,9,ep_poll,Decode[231],runnable_R,VLLM::Worker_TP0
4,1581241,1581319,vllm_worker_or_child,VLLM::Worker_TP1,VLLM::EngineCor,VLLM::EngineCor,,88,88,1,1,1,0,0.0,0.0,0,8,ep_poll,Decode[86],runnable_R,VLLM::Worker_TP1
4,1581222,1581222,driver_main_process,python3,MainThread,python3,MainThread,0,256,257,257,0,257,5210.0000000000155,30.00000000000469,1469,787,futex_wait_queue_me,Prefill|Decode[0]|Decode[1]|Decode[2]|Decode[3]|Decode[4]|Decode[5]|Decode[6]|Decode[7]|Decode[8]|Decode[9]|Decode[10],cpu_delta_active;involuntary_ctx_switch,/home/dgkim/venv-vllm-0.11.2/bin/python3 /home/dgkim/project/vLLM/phase_worker.py --phase active
4,1581222,1581411,driver_main_process,python3,EngineCoreOutputQueueThread,python3,EngineCoreOutputQueueThread,15,15,1,1,0,1,10.0,10.0,0,7,do_poll.constprop.0,Decode[13],cpu_delta_active,/home/dgkim/venv-vllm-0.11.2/bin/python3 /home/dgkim/project/vLLM/phase_worker.py --phase active
4,1581241,1581275,vllm_worker_or_child,VLLM::Worker_TP1,VLLM::EngineCor,VLLM::EngineCor,,34,34,1,1,0,1,10.0,10.0,0,9,ep_poll,Decode[32],cpu_delta_active,VLLM::Worker_TP1
4,1581241,1581315,vllm_worker_or_child,VLLM::Worker_TP1,VLLM::EngineCor,VLLM::EngineCor,,96,96,1,1,0,1,10.0,10.0,0,8,ep_poll,Decode[94],cpu_delta_active,VLLM::Worker_TP1
4,1581241,1581311,vllm_worker_or_child,VLLM::Worker_TP1,VLLM::EngineCor,VLLM::EngineCor,,75,75,1,1,0,1,9.999999999999998,9.999999999999998,0,8,ep_poll,Decode[73],cpu_delta_active,VLLM::Worker_TP1
